wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,lwage
700,50,130,29,13,14,1,38,1,0,0,1,1,2,11,14,6.551080226898193
1346,50,108,51,16,9,4,36,1,0,0,1,1,2,12,10,7.204892635345459
800,45,98,31,12,16,12,33,1,0,0,0,3,4,10,8,6.684611797332764
1250,40,125,27,16,9,10,30,1,0,0,1,3,1,16,NA,7.130898952484131
1105,40,104,29,16,5,8,29,1,0,0,1,3,1,12,12,7.007600784301758
475,52,98,33,14,12,1,30,0,0,0,1,6,1,8,10,6.1633148193359375
762,58,104,37,15,6,4,33,1,0,0,0,2,1,11,12,6.635946750640869
962,40,120,33,12,18,19,36,1,0,0,1,3,NA,8,8,6.869014263153076
721,40,134,38,13,9,9,30,0,0,1,1,3,3,8,8,6.580639362335205
800,50,92,28,9,18,13,34,1,0,0,1,0,1,8,8,6.684611797332764
658,40,129,34,16,11,9,30,1,0,0,1,2,1,13,16,6.4892048835754395
1270,40,118,42,14,4,16,36,1,0,0,1,2,1,12,12,7.146772384643555
1313,40,107,37,12,11,7,28,1,0,0,0,1,NA,12,NA,7.180069923400879
824,42,92,37,12,19,15,38,1,0,0,1,1,1,12,11,6.714170455932617
1442,40,118,33,16,6,7,29,1,0,0,1,2,1,16,12,7.273786544799805
1400,42,108,38,17,7,3,31,1,0,0,1,2,1,12,14,7.244227409362793
1038,50,119,42,12,20,5,36,1,0,0,0,3,3,12,8,6.945051193237305
668,43,109,29,12,11,12,29,1,0,0,0,2,3,8,7,6.504288196563721
1100,40,91,41,12,18,10,36,1,0,0,0,2,3,8,8,7.003065586090088
1000,45,118,38,14,9,7,30,1,0,0,1,3,1,12,10,6.907755374908447
523,43,119,37,13,9,2,30,1,0,0,0,4,1,14,NA,6.259581565856934
1111,40,103,33,14,13,13,31,1,0,0,0,6,3,14,12,7.0130157470703125
962,40,120,25,16,6,4,28,1,0,0,0,4,3,12,8,6.869014263153076
729,47,122,40,18,6,13,34,1,0,0,1,3,3,8,6,6.591673851013184
690,40,119,35,12,9,5,28,1,0,0,1,1,2,8,NA,6.536691665649414
1010,50,104,37,11,15,7,38,1,0,0,0,6,1,9,6,6.917705535888672
600,40,96,22,11,7,2,29,1,0,1,1,4,3,8,8,6.396929740905762
596,40,83,36,12,16,17,34,1,0,0,0,3,3,8,8,6.390240669250488
850,44,115,37,12,11,1,29,1,0,0,1,3,2,NA,NA,6.745236396789551
670,40,88,27,12,9,2,29,1,0,0,1,7,3,10,8,6.507277488708496
793,40,96,43,12,17,18,36,1,0,0,0,4,5,8,8,6.675823211669922
1442,40,123,42,17,14,7,38,1,0,1,0,2,3,12,6,7.273786544799805
670,50,108,43,12,14,8,34,1,0,1,1,5,1,11,7,6.507277488708496
876,45,116,35,16,10,8,29,1,0,0,1,2,1,12,12,6.775366306304932
841,40,109,45,18,13,2,36,1,0,0,0,3,4,16,12,6.734591484069824
975,40,97,39,13,8,0,31,1,0,0,1,3,1,12,12,6.882437705993652
1223,40,107,34,12,7,3,28,1,0,0,0,1,1,12,10,7.109062194824219
910,30,95,27,12,16,5,35,1,0,1,1,2,3,12,14,6.8134446144104
533,45,109,31,15,8,2,30,1,0,0,1,2,2,15,12,6.278521537780762
750,40,104,36,12,15,11,33,1,0,0,0,0,1,12,12,6.620073318481445
1206,40,110,37,12,16,4,38,1,0,0,1,1,1,12,12,7.095064163208008
745,40,94,40,13,17,1,36,0,0,0,0,2,3,13,8,6.613384246826172
900,40,103,38,12,15,1,37,1,0,1,0,3,3,8,6,6.802394866943359
1170,47,123,45,14,9,14,32,1,0,0,1,3,4,8,12,7.064759254455566
540,50,113,33,12,12,3,31,1,0,0,0,5,4,6,12,6.291569232940674
550,40,110,35,16,15,1,38,1,0,0,0,2,1,NA,NA,6.309918403625488
615,40,100,31,14,9,4,30,1,0,0,0,3,3,12,12,6.421622276306152
909,40,95,39,13,6,2,31,1,0,0,1,2,1,12,12,6.812345027923584
769,40,100,34,12,18,12,36,1,0,0,0,1,2,8,8,6.6450910568237305
984,40,108,39,13,17,18,37,1,0,0,1,4,1,15,8,6.891625881195068
833,60,101,47,12,15,12,37,1,0,0,1,5,2,12,NA,6.725033760070801
879,70,90,43,12,17,10,35,0,0,0,1,1,2,12,16,6.77878475189209
1027,45,115,41,12,16,7,35,1,0,0,1,4,3,8,5,6.934397220611572
1000,55,114,41,16,10,1,33,1,0,1,0,0,1,NA,NA,6.907755374908447
465,43,84,33,13,10,1,29,1,0,0,1,3,3,11,11,6.142037391662598
1100,40,92,37,13,21,12,38,1,1,0,1,6,6,12,NA,7.003065586090088
641,45,125,44,14,9,0,37,1,0,0,1,1,1,12,11,6.463029384613037
1035,48,107,42,12,21,14,38,1,0,0,1,1,2,11,8,6.942156791687012
1212,40,129,33,14,9,3,32,0,0,0,1,6,7,8,9,7.100027084350586
950,40,98,40,12,11,6,30,1,0,0,1,3,4,12,12,6.856462001800537
938,44,108,41,12,19,20,38,1,0,0,1,0,1,8,NA,6.84375
1250,40,114,37,16,8,8,30,1,0,0,1,5,3,2,8,7.130898952484131
586,60,111,37,18,6,10,34,1,0,0,0,3,1,12,11,6.373319625854492
693,53,101,29,12,7,6,28,1,0,0,0,1,2,12,12,6.541029930114746
562,40,99,25,12,18,12,34,0,0,0,0,1,1,12,12,6.3315019607543945
375,60,75,24,12,12,5,30,0,0,0,0,4,1,12,8,5.926926136016846
673,40,91,29,12,7,11,38,1,0,0,0,0,1,6,NA,6.511745452880859
654,50,113,38,17,1,13,33,1,0,0,0,1,1,12,10,6.483107566833496
692,50,120,34,12,17,7,35,1,0,0,0,3,4,8,NA,6.539586067199707
1111,40,98,32,14,10,1,29,1,0,0,1,3,1,12,15,7.0130157470703125
1368,45,107,31,16,11,1,33,1,0,1,1,2,2,16,16,7.221105098724365
1282,45,121,39,18,7,13,32,1,0,0,1,2,2,12,12,7.156176567077637
1250,60,115,40,11,19,4,38,1,0,0,1,1,2,NA,NA,7.130898952484131
1346,40,134,42,15,15,7,35,1,0,0,1,2,1,12,10,7.204892635345459
1424,50,96,47,17,15,12,37,1,0,0,1,2,3,NA,NA,7.26122522354126
854,48,120,38,16,8,5,29,0,0,0,1,2,3,12,16,6.749931335449219
888,50,105,36,15,9,5,32,0,0,0,1,2,2,12,10,6.788971900939941
1161,50,121,40,12,5,10,34,1,0,0,1,5,6,10,NA,7.057036876678467
583,58,113,29,16,9,0,30,1,0,0,1,2,2,12,9,6.368186950683594
1260,45,106,37,12,5,3,29,1,0,0,1,2,1,12,13,7.138866901397705
947,48,104,41,18,8,13,35,1,0,0,0,3,2,9,12,6.853299140930176
1850,40,80,23,11,14,15,33,1,0,0,1,3,NA,10,10,7.5229411125183105
1575,40,117,28,12,13,2,30,1,0,0,1,3,3,10,10,7.362010478973389
758,38,126,42,16,10,8,28,0,0,0,1,2,2,12,12,6.630683422088623
1442,40,112,42,12,19,15,36,1,0,0,1,3,2,10,8,7.273786544799805
489,55,104,47,13,20,4,38,1,0,1,1,2,2,NA,NA,6.192362308502197
1126,40,116,33,12,5,0,31,1,1,0,1,9,5,9,10,7.026426792144775
1000,40,70,18,12,12,5,32,0,1,0,1,6,NA,8,8,6.907755374908447
500,70,83,20,12,13,11,32,1,0,0,1,5,1,6,6,6.214608192443848
1200,50,84,13,12,13,9,32,1,0,0,1,5,2,6,6,7.090076923370361
565,45,82,30,10,15,3,33,1,0,0,0,4,4,NA,NA,6.336825847625732
1920,40,109,32,12,13,2,31,1,0,0,0,0,1,12,8,7.560080528259277
684,45,111,25,14,7,7,29,1,0,0,1,4,1,12,12,6.527957916259766
774,40,94,33,12,20,4,37,1,0,0,0,1,1,12,7,6.651571750640869
233,60,96,32,16,7,4,30,1,0,0,0,3,NA,12,8,5.451038360595703
975,40,101,33,13,12,10,30,1,0,0,0,3,3,12,13,6.882437705993652
1366,40,90,35,12,13,1,30,1,0,0,1,3,3,12,12,7.219642162322998
2137,40,120,48,16,16,3,37,1,0,1,1,3,3,12,12,7.667158126831055
700,40,120,38,16,10,1,29,1,0,1,1,1,1,12,12,6.551080226898193
1200,40,108,29,12,16,11,33,1,0,0,1,3,2,8,NA,7.090076923370361
1161,40,99,43,13,16,18,36,1,0,0,1,0,1,12,8,7.057036876678467
729,60,80,31,11,16,15,34,1,0,0,1,6,1,12,6,6.591673851013184
750,45,93,45,11,17,2,36,1,0,0,1,1,2,10,5,6.620073318481445
1026,45,85,46,12,4,16,38,1,0,0,1,1,2,NA,NA,6.933423042297363
1111,45,118,43,15,11,3,32,1,0,0,1,3,1,11,10,7.0130157470703125
625,50,115,31,12,12,8,31,1,0,0,1,2,3,12,NA,6.437751770019531
1200,42,119,28,16,11,5,30,1,0,0,1,5,1,10,11,7.090076923370361
1541,40,94,39,12,8,1,32,1,0,0,1,8,3,12,11,7.340187072753906
1154,40,109,42,16,12,9,34,1,0,0,1,0,1,13,16,7.050989627838135
310,40,104,37,13,10,0,33,0,0,0,0,2,1,14,8,5.736572265625
610,50,89,21,12,14,4,30,1,0,0,0,1,2,7,6,6.413458824157715
1749,43,101,28,12,16,17,36,1,0,0,0,2,2,12,8,7.466799259185791
1000,40,96,34,16,9,1,31,0,0,1,1,4,2,12,7,6.907755374908447
350,40,109,48,12,14,1,36,1,0,0,0,1,1,9,7,5.857933044433594
765,45,94,38,12,17,18,37,1,0,0,0,10,6,4,6,6.639875888824463
790,40,115,34,12,15,2,34,1,0,0,0,6,5,6,5,6.672032833099365
818,47,92,41,12,16,17,38,1,0,0,0,12,1,8,4,6.706862449645996
477,60,71,32,9,12,1,30,1,0,0,0,4,2,11,5,6.167516708374023
938,50,130,39,14,15,1,33,1,0,0,0,3,1,12,11,6.84375
2099,55,119,38,16,10,4,32,1,0,0,1,0,1,12,12,7.649216175079346
350,40,74,24,12,14,3,32,1,0,0,1,4,2,10,13,5.857933044433594
940,48,104,25,12,13,0,32,1,1,0,1,7,2,12,8,6.845880031585693
1202,40,124,23,15,11,8,28,1,0,0,1,2,2,10,NA,7.091742038726807
450,40,94,29,15,9,4,31,1,0,0,0,1,1,12,NA,6.10924768447876
1058,40,120,44,16,16,13,37,1,0,0,0,5,4,12,4,6.964135646820068
1000,40,96,40,11,15,15,37,1,0,0,1,5,5,8,9,6.907755374908447
318,40,67,35,12,16,5,36,1,1,1,1,6,NA,7,5,5.762051582336426
556,40,69,26,11,13,9,34,0,1,0,1,3,NA,8,8,6.320768356323242
958,60,98,42,12,11,9,28,1,0,0,1,0,1,12,11,6.864847660064697
995,40,92,23,9,22,13,38,1,1,0,1,7,3,7,4,6.902742862701416
1600,50,109,44,14,16,5,33,1,0,0,0,2,NA,9,10,7.377758979797363
606,45,100,39,18,6,5,30,0,0,0,0,1,NA,12,12,6.406879901885986
511,45,101,25,12,13,1,30,1,0,0,1,4,2,11,12,6.236369609832764
1411,45,111,40,16,11,12,32,1,0,1,1,1,1,12,9,7.252053737640381
1346,40,106,38,16,15,11,37,1,0,0,1,1,1,8,14,7.204892635345459
1522,46,102,37,12,15,16,37,1,0,0,0,3,2,12,10,7.327780723571777
1075,40,115,28,14,9,10,30,1,0,0,0,2,1,12,10,6.980075836181641
1200,50,99,37,12,11,11,28,1,0,0,1,5,4,10,8,7.090076923370361
1377,37,118,48,16,15,1,36,1,0,0,1,2,2,11,10,7.227662563323975
874,55,132,37,13,8,2,33,1,0,0,0,2,1,13,16,6.773080348968506
625,40,108,26,13,11,9,30,1,0,0,1,3,NA,12,16,6.437751770019531
1250,32,98,40,12,17,2,33,1,0,0,1,0,1,14,10,7.130898952484131
1082,40,111,44,13,20,12,36,1,0,0,1,4,2,8,11,6.986566543579102
693,40,79,36,11,18,3,38,1,0,0,0,3,2,8,8,6.541029930114746
727,55,97,29,12,11,11,31,1,0,0,0,3,1,12,11,6.588926315307617
615,50,99,49,15,16,15,38,1,0,0,0,2,3,12,14,6.421622276306152
913,40,101,33,16,5,7,31,1,0,0,1,2,3,12,NA,6.816735744476318
884,46,120,45,17,4,10,36,1,0,0,0,2,1,12,18,6.784457206726074
698,43,97,33,12,10,4,29,1,0,0,1,2,3,8,8,6.548219203948975
800,55,106,34,12,17,18,36,1,0,0,0,3,3,8,12,6.684611797332764
812,40,131,44,16,9,3,30,0,0,0,0,1,1,12,12,6.699500560760498
1000,40,93,32,11,16,14,34,1,0,0,1,1,NA,12,8,6.907755374908447
549,49,79,23,12,11,3,32,0,0,0,0,4,2,8,8,6.308098316192627
1300,35,100,38,12,13,15,31,1,0,0,1,4,2,11,NA,7.170119762420654
923,50,107,30,16,9,8,33,1,0,0,1,6,4,9,8,6.827629089355469
1539,40,112,42,12,15,15,32,1,0,0,0,3,1,NA,10,7.338888168334961
721,40,105,22,12,11,9,30,1,0,0,0,3,2,12,10,6.580639362335205
815,40,114,25,12,15,14,31,1,0,0,0,2,1,12,10,6.703187942504883
600,80,116,36,12,20,2,38,1,0,0,0,10,10,8,NA,6.396929740905762
1100,40,104,41,12,18,7,37,1,0,0,1,2,3,11,13,7.003065586090088
1058,40,85,48,12,18,19,35,1,0,0,1,2,1,9,12,6.964135646820068
962,40,93,46,12,15,1,30,1,0,0,1,2,2,9,12,6.869014263153076
433,50,100,40,12,5,9,37,1,0,0,0,2,2,8,7,6.070737838745117
940,40,71,20,11,9,2,29,1,0,0,0,2,3,NA,NA,6.845880031585693
1417,38,88,36,16,9,10,32,0,0,0,1,2,1,12,12,7.2562971115112305
1000,65,93,32,12,11,9,29,1,0,0,1,7,1,12,8,6.907755374908447
500,40,98,26,13,14,5,32,1,0,0,0,3,4,12,8,6.214608192443848
800,50,110,35,14,8,5,28,1,0,0,1,3,4,12,10,6.684611797332764
766,40,109,31,12,17,18,35,1,0,0,0,4,3,NA,6,6.641181945800781
750,43,94,38,14,12,10,33,1,0,0,0,1,1,11,12,6.620073318481445
550,40,77,36,12,15,2,37,1,0,0,0,6,3,8,8,6.309918403625488
795,52,89,35,11,16,4,34,1,0,0,1,6,1,NA,NA,6.678342342376709
723,40,102,44,12,12,10,30,1,0,0,1,10,6,12,6,6.583409309387207
1039,40,113,49,14,12,8,34,1,0,0,1,1,2,16,14,6.946013927459717
200,55,103,38,10,11,15,32,1,0,1,1,3,2,12,5,5.2983174324035645
400,40,90,36,10,12,1,32,1,1,0,1,5,3,8,NA,5.991464614868164
575,40,96,31,11,17,1,35,1,0,1,1,2,1,12,7,6.3543701171875
850,40,97,35,11,16,5,37,1,0,1,1,1,1,12,6,6.745236396789551
508,50,87,35,12,16,1,32,1,1,1,1,2,1,10,NA,6.2304816246032715
1162,45,89,39,12,11,4,37,1,0,1,1,3,3,15,NA,7.057898044586182
1199,43,70,28,13,13,5,30,1,1,1,1,3,1,8,NA,7.089242935180664
1270,40,104,34,16,8,4,31,1,0,1,1,3,4,16,17,7.146772384643555
350,45,116,36,16,5,3,33,1,0,1,1,2,2,11,12,5.857933044433594
963,40,85,32,14,9,9,28,1,1,1,1,5,1,7,NA,6.870053291320801
1463,45,104,47,15,14,11,37,1,0,1,1,3,4,12,12,7.288244247436523
802,40,99,26,12,13,12,29,1,1,1,1,8,6,9,12,6.687108516693115
642,45,93,18,12,12,7,30,1,1,1,1,1,2,6,6,6.464588165283203
751,40,114,37,13,9,2,28,1,0,1,1,2,2,12,10,6.621405601501465
488,40,103,40,17,5,3,31,1,0,1,1,1,NA,12,16,6.190315246582031
1400,40,92,34,12,15,5,36,1,0,1,1,2,1,6,2,7.244227409362793
940,45,98,41,18,10,7,31,1,0,1,1,2,2,8,12,6.845880031585693
866,40,114,48,13,15,16,37,1,0,1,1,3,1,12,NA,6.763885021209717
675,40,77,42,12,20,4,38,1,1,1,1,5,2,12,6,6.514712810516357
375,40,89,24,14,9,3,30,1,1,1,1,3,1,13,NA,5.926926136016846
325,40,93,44,14,10,1,33,1,1,1,1,1,NA,16,NA,5.783825397491455
346,40,110,37,12,16,17,38,1,0,1,1,2,NA,12,5,5.846438884735107
1442,40,132,39,17,8,1,33,1,0,1,1,3,1,8,12,7.273786544799805
560,49,112,37,16,13,2,32,1,0,1,0,3,1,8,2,6.32793664932251
550,56,99,42,12,17,11,36,1,0,1,1,1,2,12,12,6.309918403625488
950,44,96,26,16,8,10,32,1,1,1,1,1,2,10,NA,6.856462001800537
684,45,106,45,13,16,2,38,1,0,1,1,1,1,12,14,6.527957916259766
1322,40,128,43,16,7,1,33,1,0,1,1,0,1,18,NA,7.186901092529297
1634,40,95,48,12,18,3,38,1,0,1,1,3,3,NA,3,7.3987860679626465
417,40,80,30,12,8,0,30,0,0,1,1,3,4,8,7,6.03308629989624
472,45,71,24,11,9,0,32,1,0,1,1,13,6,6,6,6.156979084014893
666,50,89,28,12,16,1,34,1,1,1,1,6,1,9,NA,6.5012898445129395
1679,55,127,45,18,10,3,32,1,0,1,1,1,2,12,16,7.4259538650512695
1039,40,114,43,16,1,9,31,0,0,1,1,6,5,8,8,6.946013927459717
1250,40,102,30,13,13,11,30,1,0,1,1,5,6,7,NA,7.130898952484131
760,40,88,34,12,12,15,31,1,0,1,1,2,1,12,7,6.6333184242248535
1154,42,88,32,12,14,12,29,1,0,1,1,2,2,12,7,7.050989627838135
1602,60,110,45,15,14,1,37,1,0,0,1,5,1,14,12,7.3790082931518555
1442,40,110,40,13,13,13,29,1,1,1,1,1,2,7,9,7.273786544799805
865,40,130,39,16,5,3,30,1,0,0,1,4,2,8,12,6.762729644775391
705,50,100,44,12,15,12,36,1,0,1,1,1,2,NA,NA,6.558197975158691
1000,40,101,36,12,16,1,35,1,0,1,1,1,1,12,NA,6.907755374908447
852,44,89,36,10,13,9,32,1,0,1,1,6,7,9,NA,6.747586727142334
770,40,80,25,12,16,14,35,1,0,0,1,1,2,12,12,6.646390438079834
1000,40,72,20,12,16,9,34,1,0,0,1,3,4,12,12,6.907755374908447
1329,55,115,56,18,10,5,36,1,0,0,1,1,1,12,12,7.1921820640563965
1682,40,115,48,16,10,4,37,1,0,1,1,1,2,12,17,7.427738666534424
577,55,108,47,16,4,0,31,1,1,1,1,2,2,8,8,6.357842445373535
685,40,93,27,12,17,7,38,0,0,1,1,6,6,8,3,6.5294189453125
577,40,111,37,16,8,8,29,0,1,1,1,1,1,18,18,6.357842445373535
1040,40,101,38,12,19,9,38,1,1,1,1,6,1,11,12,6.946976184844971
1250,40,92,42,16,10,11,32,0,0,1,1,1,1,12,10,7.130898952484131
600,40,115,40,13,7,7,28,0,0,1,1,4,5,5,NA,6.396929740905762
480,40,76,29,12,17,3,35,0,1,1,1,8,5,11,10,6.173786163330078
1000,40,93,26,11,11,0,29,1,0,1,1,5,3,12,12,6.907755374908447
988,48,91,39,12,15,15,36,1,0,1,1,1,2,8,8,6.8956828117370605
478,45,90,35,10,19,10,34,1,0,1,1,2,1,9,9,6.169610500335693
440,40,84,23,12,11,2,30,1,1,1,1,5,3,9,4,6.086774826049805
485,40,120,43,12,11,1,30,1,1,1,1,6,6,NA,NA,6.184148788452148
705,40,89,32,9,19,0,36,1,1,1,1,0,1,NA,NA,6.558197975158691
1550,40,104,47,12,16,1,34,1,0,1,0,8,4,9,10,7.346010208129883
960,40,107,23,12,11,9,29,1,1,1,1,11,2,6,9,6.866933345794678
1000,40,100,42,12,16,14,32,1,0,1,1,2,3,12,12,6.907755374908447
625,40,129,40,18,4,5,36,1,0,1,0,3,1,15,15,6.437751770019531
1346,40,112,39,16,14,14,35,1,0,0,1,0,1,12,16,7.204892635345459
961,40,76,17,12,13,13,31,0,1,0,1,13,5,NA,8,6.867974281311035
479,40,97,45,12,15,1,38,1,0,1,0,3,4,NA,NA,6.171700477600098
1201,50,98,38,11,17,16,36,1,0,1,0,4,5,11,2,7.090909957885742
1346,45,60,34,16,8,2,31,1,0,1,1,2,3,NA,NA,7.204892635345459
1122,35,132,45,18,13,8,32,1,0,1,1,2,3,12,7,7.0228681564331055
543,45,90,31,14,5,7,38,1,1,1,1,1,2,6,NA,6.297109127044678
450,40,63,26,11,12,4,31,1,1,1,1,7,2,7,NA,6.10924768447876
507,55,110,36,14,10,4,32,1,0,1,1,2,2,13,16,6.228510856628418
547,60,88,38,11,17,5,34,1,0,1,1,4,5,NA,NA,6.30444860458374
586,56,98,41,11,18,16,35,1,0,1,1,2,2,NA,6,6.373319625854492
462,55,61,24,12,6,4,29,1,1,1,0,9,NA,8,3,6.135564804077148
705,40,76,32,12,13,8,37,1,1,0,1,5,NA,NA,NA,6.558197975158691
1566,40,127,44,12,7,1,29,1,0,0,1,3,2,11,NA,7.3562798500061035
1634,40,94,39,13,18,18,36,1,0,1,1,2,2,8,8,7.3987860679626465
1282,45,97,48,16,4,1,32,1,0,0,1,11,3,16,16,7.156176567077637
556,40,127,44,16,6,2,31,1,1,1,1,2,1,12,12,6.320768356323242
1200,40,109,42,15,7,8,33,1,0,0,1,2,1,11,12,7.090076923370361
855,45,89,21,12,6,6,31,1,0,1,0,4,3,3,3,6.751101493835449
1053,40,90,33,12,18,7,37,1,0,1,0,1,1,11,11,6.9593987464904785
1000,48,105,39,12,11,4,28,1,0,1,0,0,1,12,7,6.907755374908447
900,55,100,27,12,18,5,34,0,0,0,1,2,2,8,NA,6.802394866943359
1602,45,111,40,16,10,10,31,1,0,1,0,1,NA,16,12,7.3790082931518555
508,50,125,44,17,9,2,31,1,0,1,1,3,1,16,13,6.2304816246032715
1500,60,124,20,16,6,6,29,1,0,1,0,2,NA,12,10,7.313220500946045
1682,50,107,41,14,15,9,32,1,0,1,1,0,1,12,12,7.427738666534424
750,40,110,45,13,13,1,35,1,0,1,1,2,NA,12,16,6.620073318481445
843,40,102,32,14,8,7,29,1,0,1,0,1,1,16,16,6.736967086791992
409,40,93,26,12,17,18,38,0,0,1,0,0,1,NA,NA,6.0137152671813965
1004,40,81,36,12,17,15,34,1,0,1,0,1,1,12,NA,6.911747455596924
650,40,99,36,12,13,10,30,1,0,1,0,1,2,12,10,6.476972579956055
808,40,93,26,12,17,9,37,1,1,1,0,4,1,NA,NA,6.694561958312988
2137,45,102,35,13,8,2,30,1,0,1,0,0,1,12,12,7.667158126831055
761,48,95,44,12,14,21,38,1,0,1,1,1,1,12,5,6.634633541107178
769,40,98,37,16,8,3,35,0,0,1,1,0,1,11,8,6.6450910568237305
345,40,84,28,12,7,8,31,1,1,1,1,2,2,NA,NA,5.8435444831848145
495,40,88,30,12,6,10,31,1,0,1,1,2,1,NA,7,6.2045578956604
987,38,109,41,16,9,3,31,1,0,1,1,3,4,4,NA,6.894670009613037
2500,60,82,41,12,21,1,38,1,0,1,0,3,3,8,5,7.8240461349487305
1098,45,105,22,14,6,1,32,0,0,1,1,1,2,12,NA,7.001245498657227
1212,40,95,36,12,6,16,38,1,0,1,0,3,1,12,8,7.100027084350586
577,40,92,33,15,8,1,28,1,1,1,1,1,2,10,7,6.357842445373535
390,59,74,26,15,10,3,30,1,1,1,1,3,3,7,6,5.966146945953369
1500,40,123,43,16,9,12,32,1,0,1,1,1,1,12,14,7.313220500946045
583,80,86,24,12,9,1,30,1,0,1,1,2,2,12,12,6.368186950683594
460,40,92,22,11,16,1,36,1,0,1,1,5,6,NA,NA,6.131226539611816
945,40,87,41,12,12,13,38,1,0,1,1,2,2,8,NA,6.851184844970703
1442,60,117,39,16,9,3,31,1,0,1,1,1,2,12,10,7.273786544799805
1333,45,112,50,16,14,8,38,1,0,1,1,1,2,12,4,7.195187091827393
1500,37,119,41,15,8,5,33,0,0,0,1,1,1,12,18,7.313220500946045
1333,45,103,30,16,7,1,34,1,0,0,1,3,1,NA,NA,7.195187091827393
700,40,74,29,12,16,4,36,1,1,1,1,3,NA,9,NA,6.551080226898193
973,36,81,33,13,11,5,32,1,0,1,1,0,1,6,9,6.8803839683532715
2162,40,124,48,18,10,8,32,1,0,1,1,1,1,10,10,7.678789138793945
797,41,89,38,12,10,7,36,1,0,1,0,1,2,7,8,6.680854797363281
400,40,88,34,12,14,1,32,1,1,1,1,7,7,7,6,5.991464614868164
1015,40,67,31,12,15,11,32,1,1,0,1,3,2,9,5,6.922643661499023
1744,43,106,41,16,8,9,29,1,0,1,1,1,1,12,16,7.463936805725098
630,40,103,30,15,14,2,32,1,0,1,0,0,1,11,5,6.4457197189331055
445,40,91,40,12,11,4,32,1,0,1,0,0,1,6,8,6.098074436187744
660,42,101,34,16,12,9,31,1,0,1,1,0,1,12,12,6.492239952087402
779,40,85,30,12,14,7,37,1,1,1,1,7,4,12,NA,6.658010959625244
377,40,83,32,12,9,1,36,0,0,1,1,1,1,12,12,5.932245254516602
560,44,70,34,12,16,11,35,1,1,1,1,2,1,8,NA,6.32793664932251
1122,60,102,54,17,7,13,32,1,0,1,1,2,2,12,11,7.0228681564331055
453,50,94,34,12,9,2,30,1,0,1,0,6,4,7,7,6.115891933441162
1386,40,97,38,10,17,9,37,1,0,1,1,1,2,12,8,7.234177112579346
1539,40,115,38,17,7,9,31,1,0,1,1,2,1,12,16,7.338888168334961
1154,40,117,38,16,11,12,35,1,0,1,1,5,5,17,18,7.050989627838135
962,50,105,45,14,15,2,37,1,0,1,1,3,4,8,4,6.869014263153076
722,55,113,36,16,8,1,38,0,0,1,1,1,2,8,NA,6.582025051116943
480,40,83,37,12,9,3,37,1,0,1,1,4,3,10,11,6.173786163330078
808,50,101,44,18,8,9,38,1,0,1,0,3,2,17,12,6.694561958312988
1442,40,113,36,13,14,8,36,1,0,1,1,2,1,12,12,7.273786544799805
1091,50,88,31,13,13,4,37,1,0,0,1,4,1,12,NA,6.994850158691406
350,40,93,41,12,16,0,33,0,1,1,1,1,1,12,NA,5.857933044433594
500,40,83,39,12,18,11,36,1,1,1,1,0,1,7,NA,6.214608192443848
1026,45,113,27,16,9,13,30,1,0,1,1,2,2,16,14,6.933423042297363
577,40,106,43,17,11,7,33,0,1,1,1,3,2,13,16,6.357842445373535
1333,60,106,38,15,5,1,30,1,0,1,1,2,2,12,12,7.195187091827393
915,55,114,36,12,17,9,37,1,0,0,1,1,NA,10,NA,6.8189239501953125
1105,40,119,32,16,9,10,30,0,0,1,1,5,1,11,10,7.007600784301758
910,40,82,26,14,5,5,30,1,1,1,1,10,NA,9,3,6.8134446144104
1000,40,89,40,12,17,8,38,1,0,1,1,7,7,1,4,6.907755374908447
1160,40,74,18,12,14,1,33,1,1,1,1,9,6,3,4,7.056175231933594
1001,34,77,22,12,12,3,29,1,1,1,1,9,8,3,4,6.908754825592041
713,40,75,25,12,5,12,36,1,1,1,1,7,4,NA,NA,6.569481372833252
929,40,97,28,13,12,5,30,1,0,1,1,2,1,12,12,6.834108829498291
400,50,68,35,12,4,9,31,1,1,1,1,6,1,6,2,5.991464614868164
1241,40,83,51,13,9,10,33,1,0,1,1,2,3,12,12,7.123672962188721
1065,40,97,40,12,21,10,36,1,0,1,1,1,1,12,NA,6.970730304718018
403,45,98,37,12,5,3,30,1,0,1,1,2,NA,12,12,5.998936653137207
940,45,102,30,13,15,12,30,1,1,1,1,2,2,NA,NA,6.845880031585693
812,40,81,20,10,17,13,34,1,1,1,1,2,2,8,3,6.699500560760498
700,20,85,27,10,13,0,35,1,1,1,1,3,NA,6,10,6.551080226898193
575,40,86,20,10,12,6,33,1,1,1,1,8,NA,NA,NA,6.3543701171875
450,40,79,23,10,20,5,36,1,1,1,1,7,6,12,12,6.10924768447876
621,43,84,24,12,14,10,31,1,0,1,0,4,3,8,6,6.431331157684326
441,38,74,24,12,12,11,30,1,0,1,0,4,4,8,6,6.08904504776001
625,40,92,25,16,6,9,33,1,1,1,0,11,1,NA,NA,6.437751770019531
726,45,93,32,12,16,5,36,1,0,1,0,5,2,6,NA,6.587550163269043
500,40,69,18,9,21,13,38,1,1,1,1,8,6,6,NA,6.214608192443848
1000,44,113,41,17,8,2,34,1,0,1,1,4,1,17,18,6.907755374908447
