wage,educ,ability,fathereduc
155.29,17.31,278.33,16.94
156.46,18.32,297.93,17.86
232.31,18.88,522.58,16.52
44.43,12.3,283.08,11.42
87.87,13.99,188.43,14.09
178.68,19.08,358.33,18.17
207.27,17.57,547.16,14.88
183.99,14.58,354.32,13.29
111.29,18.58,313.42,18.02
228.64,19.19,435.15,17.62
136.09,15.18,310.94,14.33
58.29,16.17,157.24,16.74
213.69,18.18,328.83,17.44
177.42,16.68,364.4,15.5
110.15,13.9,289.07,13.11
157.8,17.23,298.96,16.67
180.74,13.01,321.82,11.86
224.92,15.93,483.1,13.65
115.93,16.08,258.56,15.76
165.27,14.68,381.95,13.16
111.04,14.51,303.61,13.65
234,17.56,505.22,15.23
133.26,14.51,329.42,13.43
156.09,13.14,328.92,11.94
122.3,17.06,259.18,16.82
100.79,16.84,326.24,16
243.31,18.12,424.28,16.54
136.28,15.25,309.74,14.41
137.18,12.4,338.3,11.05
204.08,19.76,294.04,19.47
173.88,19.17,327.98,18.54
70.24,16.61,197.22,16.88
145.22,15.34,377.41,13.92
180.03,20.8,366,19.98
225.16,18.21,516.08,15.84
172.65,16.69,343.06,15.69
189.25,20.76,299.67,20.52
178.68,18.43,293.37,18.03
163.17,15.43,332.15,14.41
116.91,16.62,340.16,15.64
152,17.38,216.34,17.55
138.03,17.74,264.41,17.53
109,16.78,219.91,16.86
166.04,17.92,317.76,17.26
170.95,16,282.29,15.47
222.92,17.44,503.78,15.11
206.7,17.25,421.75,15.62
156.69,15.77,265.46,15.36
89.18,14.19,215.88,14.07
201.73,15.73,475.75,13.48
239.68,19.36,515.88,17.11
148.72,14.51,400.82,12.81
209.65,18.76,393.61,17.51
115.99,14.96,166.14,15.35
139.79,15.27,299.97,14.52
174.38,16.86,418.16,15.23
58.17,13.49,235.3,13.13
190.12,15.52,408.89,13.84
196.45,17.04,386.06,15.7
183.76,14.97,368.88,13.58
128.83,14.31,426.51,12.36
102.73,14.39,319.89,13.38
133.31,16.69,380.76,15.36
116.36,16.33,247.93,16.13
116,16.09,299.08,15.42
150.77,17.84,317.75,17.17
226.6,17.92,427.13,16.3
86.55,15.16,177.17,15.47
150.95,16.45,260.05,16.15
125.78,19.67,240.13,19.85
195.94,19.22,365.31,18.27
144.95,18.33,282.34,18.01
147.44,17.97,314.71,17.34
157.42,15.03,348.35,13.83
208.5,20.98,321.4,20.57
198.32,18.91,411.55,17.52
158.88,18.35,332.71,17.6
149.94,16.81,372.99,15.56
208.42,18.16,389.52,16.9
200.14,17.38,377.19,16.15
198.05,20.1,375.31,19.14
158.33,17.73,317.03,17.05
194.25,14.83,274.92,14.26
167.26,16.92,345.25,15.93
169.6,17.17,336.55,16.27
115.41,16.26,292.79,15.66
165.94,14.05,320.93,13
249.5,20.17,489.35,18.23
180.29,16.17,421.74,14.44
157.92,15.91,430.88,14.08
211.83,18.64,406.11,17.27
186.16,18.84,273.31,18.65
181.42,18.76,434.52,17.16
164.13,18.76,429.1,17.21
168.29,17.66,373.7,16.48
166.49,18.06,300.69,17.56
198.93,16.36,359.18,15.2
192.72,18.87,416.29,17.44
248.23,19.68,560.51,17.06
251.72,18.25,470.42,16.29
154.05,18.44,362.44,17.44
128.95,14.07,176.56,14.28
115.9,16.45,307.09,15.74
202.51,18.27,476.4,16.26
72.24,15.28,153.89,15.8
200.39,16.64,328.06,15.77
183.55,15.82,327.05,14.88
85.39,15.88,349.88,14.75
196.64,15.41,389.79,13.88
86.23,17.75,209.97,18.01
107.38,16.27,173.39,16.72
49.53,15.51,171.2,15.9
108.25,14.78,177.52,15.04
149.02,17.57,209.46,17.82
177.09,14.6,416.96,12.77
136.44,12.95,280.77,12.15
86.59,19.31,302.75,18.91
140.15,16.8,286.19,16.31
153.97,16.05,348.32,14.94
119.81,18.25,244.59,18.26
156.14,19.91,329.09,19.33
110.01,17.1,350.66,16.08
197.77,19.1,435.02,17.53
