id,attendance,treatment,grade
934,73.54,TRUE,60.26
935,88.93,FALSE,81.4
936,84.25,FALSE,78.52
937,89.82,FALSE,80.77
938,74.17,TRUE,58.63
939,57.46,TRUE,34.42
940,69.07,TRUE,51.88
941,85.08,FALSE,80.55
942,63.08,TRUE,38.19
943,67.06,TRUE,56.78
944,55.25,TRUE,27.26
945,82.59,FALSE,82.05
946,91.43,FALSE,83.19
947,76.75,TRUE,77.71
948,68.99,TRUE,47.98
949,76.48,TRUE,73.73
950,66.14,TRUE,51.89
951,76.73,TRUE,70.04
952,79.31,TRUE,84.86
953,77.52,TRUE,72.5
954,75.6,TRUE,71.05
955,72.99,TRUE,60.75
956,84.37,FALSE,69.64
957,73.63,TRUE,82.17
958,86.1,FALSE,79.95
959,90.63,FALSE,94.16
960,56.36,TRUE,32.91
961,60.4,TRUE,39.89
962,84.41,FALSE,83.15
963,41.88,TRUE,9.97
964,78.64,TRUE,74.14
965,80.16,FALSE,52.28
966,89.15,FALSE,79.55
967,75.65,TRUE,73.83
968,77.68,TRUE,79.03
969,73.89,TRUE,86.58
970,65.71,TRUE,49.24
971,53.41,TRUE,27.2
972,68.44,TRUE,48.71
973,50.83,TRUE,27.53
974,48.58,TRUE,24.89
975,81.41,FALSE,63.9
976,62.65,TRUE,43.2
977,90.86,FALSE,90.14
978,89.23,FALSE,85.8
979,69.63,TRUE,57
980,82.6,FALSE,59.25
981,95.64,FALSE,96.31
982,53.43,TRUE,26.74
983,87.88,FALSE,83.27
984,67.1,TRUE,51.14
985,66.49,TRUE,46.37
986,33.42,TRUE,8.59
987,71.28,TRUE,57.65
988,60.16,TRUE,31.65
989,82.07,FALSE,71.97
990,95.17,FALSE,80.38
991,72.39,TRUE,70.94
992,93.39,FALSE,88.63
993,76.31,TRUE,66.73
994,73.26,TRUE,70.61
995,81.2,FALSE,56.9
996,36.76,TRUE,14.02
997,31.71,TRUE,7.38
998,89.3,FALSE,89.99
999,57.62,TRUE,25.37
1000,81.61,FALSE,65.44
1001,89.47,FALSE,71.77
1002,75.53,TRUE,63.71
1003,56.72,TRUE,34.88
1004,49.47,TRUE,19.13
1005,86.1,FALSE,85.03
1006,72.45,TRUE,62.15
1007,45.11,TRUE,12.25
1008,94.71,FALSE,87.66
1009,81.06,FALSE,65.46
1010,85.18,FALSE,69.95
1011,80.61,FALSE,74.42
1012,59.55,TRUE,40.98
1013,72.47,TRUE,64.9
1014,76.54,TRUE,64.26
1015,78.81,TRUE,72.59
1016,90.48,FALSE,92.12
1017,70.14,TRUE,57.21
1018,49.94,TRUE,21.43
1019,48.69,TRUE,16.36
1020,66.38,TRUE,49.77
1021,91.27,FALSE,84.48
1022,87.64,FALSE,81.6
1023,86.42,FALSE,86.45
1024,93.68,FALSE,93.38
1025,74.43,TRUE,65.98
1026,43.52,TRUE,18.63
1027,98.65,FALSE,85.43
1028,57.65,TRUE,51.34
1029,78.82,TRUE,75.89
1030,87.02,FALSE,79.72
1031,57.32,TRUE,35.6
1032,73.33,TRUE,59.29
1033,88.78,FALSE,82.99
1034,86.22,FALSE,81.88
1035,94.92,FALSE,83.35
1036,21.07,TRUE,0
1037,78.01,TRUE,73.48
1038,86.84,FALSE,74.77
1039,82.42,FALSE,64.1
1040,84.14,FALSE,69.54
1041,93.36,FALSE,85.52
1042,94.36,FALSE,92.95
1043,62.14,TRUE,36.25
1044,66.8,TRUE,51.98
1045,72.35,TRUE,50.85
1046,89.99,FALSE,80.24
1047,85.5,FALSE,64.04
1048,89.67,FALSE,84.62
1049,78.19,TRUE,69.04
1050,72.31,TRUE,81.4
1051,61.82,TRUE,38.41
1052,63.67,TRUE,46.72
1053,61.95,TRUE,43.3
1054,42.42,TRUE,16.47
1055,47.57,TRUE,24.05
1056,84.69,FALSE,67.54
1057,57.84,TRUE,29.56
1058,65.51,TRUE,50.74
1059,72.87,TRUE,57.69
1060,88.59,FALSE,83.12
1061,62.19,TRUE,37.95
1062,73.97,TRUE,50.79
1063,81.28,FALSE,56.57
1064,52.94,TRUE,28.27
1065,50.84,TRUE,31.76
1066,54.38,TRUE,34.71
1067,88.53,FALSE,84.36
1068,52.5,TRUE,21.24
1069,86.73,FALSE,85.54
1070,66.58,TRUE,44.99
1071,71.56,TRUE,62.9
1072,86.29,FALSE,65.01
1073,76.27,TRUE,77.49
1074,68.04,TRUE,49.94
1075,41.88,TRUE,14.08
1076,78.38,TRUE,82.59
1077,69.26,TRUE,58.54
1078,92.88,FALSE,80.52
1079,61.02,TRUE,42.94
1080,71.06,TRUE,50.01
1081,60.86,TRUE,32.6
1082,82.14,FALSE,75.87
1083,77.73,TRUE,82.39
1084,72.83,TRUE,61.23
1085,77.13,TRUE,71.4
1086,55.17,TRUE,36.86
1087,87.01,FALSE,79.9
1088,71.18,TRUE,59.79
1089,62.53,TRUE,41.05
1090,92.04,FALSE,83.6
1091,70.62,TRUE,49.83
1092,84.76,FALSE,74.96
1093,59.11,TRUE,35.73
1094,95.61,FALSE,85.37
1095,70.83,TRUE,60.76
1096,84.31,FALSE,76.85
1097,81.3,FALSE,63.09
1098,92.27,FALSE,81.34
1099,67.1,TRUE,53
1100,95.06,FALSE,89.76
1101,77.74,TRUE,69.27
1102,65.48,TRUE,41.94
1103,73.58,TRUE,67.21
1104,54.79,TRUE,24.24
1105,74.22,TRUE,63.76
1106,88.09,FALSE,84.29
1107,94.91,FALSE,83.76
1108,90.45,FALSE,82.18
1109,88.57,FALSE,81.78
1110,94.26,FALSE,84.63
1111,49.57,TRUE,25.71
1112,38.57,TRUE,11.62
1113,84.96,FALSE,75.81
1114,73.54,TRUE,65.03
1115,48.73,TRUE,16.95
1116,62.89,TRUE,46.88
1117,72.08,TRUE,56.47
1118,91.29,FALSE,89.73
1119,68.83,TRUE,41.12
1120,78.4,TRUE,63.68
1121,85.57,FALSE,69.57
1122,86.17,FALSE,87.16
1123,70.3,TRUE,57.05
1124,63.99,TRUE,49.83
1125,67.53,TRUE,53.89
1126,65.71,TRUE,48.07
1127,83.29,FALSE,63.23
1128,73.2,TRUE,54.8
1129,60.07,TRUE,32.77
1130,97.84,FALSE,92.32
1131,76.95,TRUE,67.22
1132,74.4,TRUE,63.67
1133,79.42,TRUE,73.13
1134,74.21,TRUE,62.93
1135,97.02,FALSE,92.72
1136,68.01,TRUE,42.65
1137,75.13,TRUE,70.02
1138,83.34,FALSE,64.49
1139,99.5,FALSE,82.73
1140,82.15,FALSE,65.01
1141,72.89,TRUE,56.4
1142,76.51,TRUE,71.22
1143,68.57,TRUE,62.57
1144,59.26,TRUE,37.59
1145,55.75,TRUE,30.73
1146,51.89,TRUE,24.91
1147,56.52,TRUE,33.86
1148,81.24,FALSE,68.94
1149,75.66,TRUE,65.58
1150,42.79,TRUE,10.47
1151,61.6,TRUE,46.24
1152,68,TRUE,50.38
1153,41.66,TRUE,15.98
1154,85.2,FALSE,83.31
1155,74.71,TRUE,70.63
1156,79.6,TRUE,84.3
1157,72.55,TRUE,67.56
1158,77.85,TRUE,71.75
1159,43.16,TRUE,15.24
1160,72.54,TRUE,63.18
1161,73.9,TRUE,66.64
1162,85.92,FALSE,74.69
1163,82.26,FALSE,58.51
1164,94.6,FALSE,90.52
1165,66.55,TRUE,46.16
1166,55.12,TRUE,27.08
1167,92.83,FALSE,88.08
1168,66.75,TRUE,46.04
1169,68.4,TRUE,59.94
1170,71.3,TRUE,56.87
1171,73.82,TRUE,68.94
1172,68.31,TRUE,40.55
1173,37.53,TRUE,8.86
1174,65.57,TRUE,49.21
1175,64.7,TRUE,49.06
1176,84.01,FALSE,69.01
1177,76.3,TRUE,69.18
1178,83.41,FALSE,85.47
1179,67.19,TRUE,50.11
1180,66.56,TRUE,46.8
1181,58.6,TRUE,34.5
1182,88.72,FALSE,90.2
1183,77.69,TRUE,61.85
1184,83.2,FALSE,82.38
1185,81.3,FALSE,70.65
1186,61.61,TRUE,36.68
1187,84.92,FALSE,77.17
1188,46.39,TRUE,13.5
1189,66.25,TRUE,46.93
1190,73.46,TRUE,66.32
1191,94.75,FALSE,95.15
1192,81.16,FALSE,63.76
1193,80.19,FALSE,56.93
1194,60.46,TRUE,37.18
1195,94.75,FALSE,80.73
1196,58.99,TRUE,39.46
1197,35.9,TRUE,10.69
1198,94.42,FALSE,92.4
1199,55.17,TRUE,33.74
1200,68.36,TRUE,54.71
