treat,age,educ,race,married,nodegree,re74,re75,re78
0,55,4,black,0,1,0,0,0
0,19,11,black,0,1,0,0,16485.52
0,18,11,black,0,1,0,0,7146.286
0,48,13,white,1,0,0,0,0
0,16,9,hispan,1,1,0,0,6821.186
0,17,10,black,0,1,0,0,0
0,38,12,white,1,0,0,0,18756.78
0,34,8,white,1,1,0,0,2664.341
0,53,12,white,0,0,0,0,0
0,48,14,white,1,0,0,0,7236.427
0,16,9,white,0,1,0,0,6494.608
0,17,8,black,0,1,0,0,4520.366
0,27,14,black,0,0,0,0,10122.43
0,37,8,black,0,1,0,0,648.722
0,17,10,black,0,1,0,0,1053.619
0,16,8,white,0,1,0,0,0
0,48,12,white,1,0,0,0,1491.026
0,55,7,white,0,1,0,0,0
0,21,15,white,0,0,0,0,0
0,16,10,black,0,1,0,0,1730.418
0,23,12,white,0,0,0,0,3902.676
0,46,11,black,1,1,0,0,0
0,17,10,white,0,1,0,0,14942.77
0,42,16,white,0,0,0,0,23764.8
0,18,10,black,0,1,0,0,5306.516
0,53,12,black,0,0,0,0,0
0,17,10,white,1,1,0,0,3859.822
0,17,6,white,0,1,0,0,0
0,43,6,white,1,1,0,0,0
0,34,12,black,0,0,0,0,0
0,16,8,hispan,0,1,0,0,12242.96
0,27,12,white,1,0,0,0,1533.88
0,51,4,black,0,1,0,0,0
0,39,2,black,1,1,0,0,964.9555
0,55,8,white,1,1,0,0,0
0,16,9,white,0,1,0,0,5551.819
0,27,10,black,0,1,0,0,7543.794
0,25,14,white,0,0,0,0,0
0,18,11,white,0,1,0,0,10150.5
0,24,1,hispan,1,1,0,0,19464.61
0,21,18,white,0,0,0,0,0
0,32,5,black,1,1,0,0,187.6713
0,16,9,white,0,1,0,0,1495.459
